rkpc,nrkpc,z0,z1,z2,z3,z4,z5,z6
12.9129,1.8956403611920734,7.5237152589011895,7.493413434182019,7.429450267699287,7.165591504164772,6.923337811963489,6.0315538780567035,6.043982816638904
13.013,1.8993034514350302,7.516479844110744,7.487144034000346,7.422927821165585,7.150630583648753,6.907869600611395,6.01536394742066,6.023873612059667
13.1131,1.9029454690242442,7.509288565964342,7.479887567472688,7.414284612418631,7.141054495342596,6.892451913429405,5.999257155789093,6.003830903158635
13.2132,1.9065666946657878,7.502142960210611,7.4726774795048465,7.406589567978539,7.131528845272287,6.877084409388289,5.983228791213614,5.983853972719312
13.3133,1.9101674032341254,7.495043152916439,7.465513714998761,7.398627386871446,7.122058520446808,6.8627942460763744,5.967279266994602,5.963944994623489
13.4134,1.9137478639360808,7.487986331129392,7.458393064554438,7.392014205296961,7.112638510618492,6.852326255460461,5.951407952345784,5.944102004179158
13.5135,1.9173083404690088,7.4809722465001975,7.451318127231603,7.386422266118175,7.103269928960037,6.841914811925843,5.935613559237918,5.924324264232606
13.6136,1.9208490911734153,7.474001978706758,7.444029173533431,7.377175068494761,7.093950222019724,6.831559453094091,5.919895157362997,5.9046106096514634
13.7137,1.9243703691802634,7.467073601986848,7.435348975105413,7.370551946761463,7.084679924330727,6.8212592967535945,5.904251797928623,5.884961236158192
13.8138,1.9278724225531845,7.460187965344202,7.426712909359135,7.361922280880518,7.075459363755785,6.811013679563467,5.888683163126979,5.865374065649832
13.9139,1.9313554944258073,7.453341277530132,7.41871052874015,7.352603097494923,7.0662886452657085,6.800822203304523,5.8731874442736665,5.845850578360219
14.014,1.9348198231344083,7.446537167073642,7.4130934671332165,7.345375691252097,7.057163826954661,6.790684081205906,5.857764766154236,5.826387770853107
14.1141,1.9382656423460707,7.439771504308749,7.407508173643516,7.338187466465779,7.048088164099313,6.780598828080454,5.84241326369411,5.806986740477669
14.2142,1.9416931811825406,7.433046207070704,7.4019568395695625,7.331036356817484,7.039057018033442,6.770564840705794,5.827132673229307,5.787646055015877
14.3143,1.945102664339948,7.426359963901812,7.395759597588795,7.322659570177886,7.030073230712517,6.760582298511411,5.8119220346871545,5.768365009161425
14.4144,1.9484943122045622,7.419711285846204,7.388552320703871,7.314926365309521,7.021135525948058,6.750651079188066,5.796781024841414,5.749143199235417
14.5145,1.9518683409647397,7.413101855099083,7.3813858660133755,7.3082441767406054,7.012242297774367,6.740769156783661,5.781707994488205,5.7299807555877775
14.6146,1.955224962719213,7.40652996162004,7.374256967198594,7.298525595321998,7.003391591005796,6.730937237869062,5.766702775739368,5.710876082391829
14.7147,1.958564385581866,7.399993701101243,7.367169488534679,7.290243913131265,6.994588556900486,6.721154145101497,5.751763949418987,5.691829143784431
14.8148,1.9618868137831313,7.393496233457221,7.360117966335639,7.283814388158048,6.985826900262138,6.711419142177213,5.73689187316964,5.67283922154458
14.9149,1.9651924477681426,7.387033701282363,7.35310610005517,7.2774716850428245,6.977108300058703,6.701732001697996,5.722084949919479,5.653904902523107
15.015,1.9684814842917655,7.380605546812866,7.346129901084839,7.269928360624436,6.9684325114273715,6.68788374275854,5.707342750626134,5.635027095488983
15.1151,1.9717541165106254,7.374214770713324,7.339190985294066,7.262308674749023,6.959798123146641,6.672947135346502,5.692664530156845,5.620126681610405
15.2152,1.9750105340722484,7.367857027591511,7.332288956084814,7.254809010414804,6.9512053643518525,6.658035258335747,5.678049233369379,5.607706948165106
15.3153,1.9782509232014243,7.3615351931364295,7.3254232941284245,7.247907012997656,6.942653802892541,6.643148563897025,5.663496447970745,5.595350697772946
15.4154,1.9814754667838923,7.355248405962548,7.318591266376838,7.241035685094299,6.934142284760325,6.628286731089513,5.649005604932314,5.583054741211997
15.5155,1.9846843444474553,7.348993734566407,7.311796229182405,7.234200811530522,6.925671447836317,6.61370866008935,5.63457600802907,5.570820706107798
15.6156,1.98787773264061,7.342771949990927,7.3050352084095165,7.227395597183835,6.917239705123014,6.603866152601432,5.620206869403359,5.558646181209352
15.7157,1.9910558047087925,7.336583800263286,7.298309322452479,7.220523869806598,6.908847315953194,6.594670940034688,5.605898427828703,5.546531559215896
